NAME_CANDIDATE,CON_LOC,CON_LOCAL,CON_LITERAL,CON_INVOCATION,CON_IF,CON_CONDITIONAL,CON_SWITCH,CON_VAR_ACCESS,CON_TYPE_ACCESS,CON_FIELD_ACCESS,CON_ASSERT,CON_ASSIGN,CON_TYPED_ELEMENTS,CON_PACKAGE,LOC_CANDIDATE,NUM_LOCAL,NUM_LITERAL,NUM_INVOCATION,NUM_IF,NUM_CONDITIONAL,NUM_SWITCH,NUM_VAR_ACCESS,NUM_TYPE_ACCESS,NUM_FIELD_ACCESS,NUM_ASSIGN,NUM_TYPED_ELE,NUM_PACKAGE,LOC_RATIO,VAR_ACCESS_COUPLING,VAR_ACCESS_COUPLING_2,VAR_ACCESS_COHESION,VAR_ACCESS_COHESION_2,FIELD_ACCESS_COUPLING,FIELD_ACCESS_COUPLING_2,FIELD_ACCESS_COHESION,FIELD_ACCESS_COHESION_2,INVOCATION_COUPLING,INVOCATION_COHESION,TYPE_ACCESS_COUPLING,TYPE_ACCESS_COUPLING_2,TYPE_ACCESS_COHESION,TYPE_ACCESS_COHESION_2,TYPED_ELEMENTS_COUPLING,TYPED_ELEMENTS_COHESION,PACKAGE_COUPLING,PACKAGE_COUPLING_2,PACKAGE_COHESION,PACKAGE_COHESION_2
updateActionBar,3,2,0,3,0,0,0,8,3,2,0,0,17,28,15,1,1,15,2,0,0,15,5,1,0,45,62,0.833333333333333,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.666666666666667,1,0,1,0
onPageSelected,21,1,0,19,3,0,0,25,31,22,0,6,97,126,5,2,0,3,0,0,0,8,3,2,0,20,28,0.192307692307692,1,0.5,0.5,0.25,0.333333333333333,0.25,0.25,0.25,1,0.25,0.115384615384615,0,0.75,0,1,0.5,0.473684210526316,0.129411764705882,0.75,1
show,6,2,0,5,0,0,0,9,4,3,0,1,22,57,14,3,1,9,3,0,0,17,8,5,1,55,69,0.7,1,1,0.2,0.4,1,1,0.2,0.2,1,0.2,1,0.857142857142857,0.2,0.6,1,0.2,1,0.724137931034483,0.2,0.8
onPageSelected,10,1,0,6,1,0,0,18,22,16,0,3,58,78,30,3,1,17,5,0,0,29,15,12,1,97,112,0.75,1,1,0.166666666666667,0.666666666666667,1,1,0.166666666666667,0.166666666666667,1,0.166666666666667,1,0.424242424242424,0.166666666666667,0.666666666666667,1,0.166666666666667,1,0.911764705882353,0.333333333333333,0.666666666666667
configurePager,5,0,0,13,1,0,0,10,6,6,0,1,42,48,12,1,1,6,1,0,0,18,22,16,3,74,81,0.705882352941176,1,0,0.571428571428571,0,1,0,0.571428571428571,0,1,0.142857142857143,1,0,0.142857142857143,0,1,0.571428571428571,1,1,0.571428571428571,0.142857142857143
show,6,2,0,5,0,0,0,9,4,3,0,1,22,61,17,5,1,11,3,0,0,23,8,6,1,69,107,0.739130434782609,1,1,0.4,0.2,1,1,0.2,0.2,1,0.2,1,0.857142857142857,0.2,0.6,1,0.4,1,0.733333333333333,0.2,0.8
loadContent,19,1,0,25,0,0,0,26,33,21,0,9,99,133,27,0,1,26,2,0,0,21,37,18,1,126,151,0.58695652173913,1,1,0.333333333333333,0.333333333333333,1,0.75,0.333333333333333,0.666666666666667,1,0.333333333333333,1,0,1,0,1,1,1,0,1,0
show,7,2,0,5,1,0,0,10,5,3,0,1,24,62,21,5,1,12,4,0,0,24,10,6,2,72,97,0.75,1,1,0.2,0.4,1,1,0.2,0.2,1,0.2,1,0.875,0.2,0.6,1,0.2,1,0.75,0.2,0.8
configurePager,5,1,0,7,0,0,0,5,4,2,0,1,19,26,4,0,1,3,0,0,0,1,2,1,0,9,7,0.444444444444444,0.5,0,0.333333333333333,0,0.5,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0
appendReviewComment,3,0,1,6,0,0,0,7,3,0,0,0,17,64,15,1,1,11,3,0,0,13,3,0,1,42,76,0.833333333333333,1,1,0.25,0.5,0,0,0,0,1,0.25,1,0,0.25,0,1,0.25,1,0.91304347826087,0.25,0.75
appendCommitComment,4,1,1,6,0,0,0,8,3,0,0,0,19,68,15,1,1,11,3,0,0,13,3,0,1,42,76,0.789473684210526,1,1,0.25,0.5,0,0,0,0,1,0.25,1,0,0.25,0,1,0.25,1,0.91304347826087,0.25,0.75
getDotCenterX,11,5,0,11,1,0,0,31,27,21,0,0,89,94,12,5,1,3,1,1,0,26,16,13,3,99,50,0.521739130434783,1,1,0.333333333333333,0.333333333333333,1,0,0.333333333333333,0,1,0.111111111111111,0.41025641025641,0,1,0,1,0.333333333333333,0.431034482758621,0,1,0
loadColors,19,1,0,16,1,0,0,15,14,10,0,4,60,68,8,2,1,7,0,0,0,11,7,3,3,40,28,0.296296296296296,1,1,0.6,0.2,1,0,0.4,0,1,0.2,1,0,0.2,0,1,0.6,1,0,0.8,0
trim,19,1,1,12,3,0,0,31,25,16,0,0,77,148,18,2,1,13,4,0,0,26,5,3,1,63,85,0.486486486486487,1,0,0.75,0,0.6,0,0.5,0,1,0.5,1,0.111111111111111,0.25,0.5,1,0.75,0.25,0,1,0
formatPres,19,1,1,12,3,0,0,31,25,16,0,0,77,148,47,6,1,20,4,0,1,73,16,16,11,157,154,0.712121212121212,1,0,0.6,0,1,1,0.4,0.4,1,0.2,0.4,0,0.8,0,1,0.6,0.474226804123711,0,1,0
formatEmailFragments,19,1,1,12,3,0,0,31,25,16,0,0,77,148,22,6,1,11,2,0,0,40,7,7,3,83,85,0.536585365853659,1,0,0.75,0,1,0,0.5,0,1,0.25,0.225806451612903,0,0.75,0,1,0.75,0.310810810810811,0,1,0
show,27,1,0,22,3,0,0,28,18,5,0,0,79,234,8,0,1,6,1,0,0,6,5,0,0,21,56,0.228571428571429,0.444444444444444,0.4,0.8,0.4,0,0,0,0,1,0.2,1,0.5,0.2,0.2,1,0.2,1,0.5,0.2,0.2
encode,27,1,0,22,3,0,0,28,18,5,0,0,79,234,15,2,1,10,3,0,0,17,10,5,0,50,113,0.357142857142857,1,1,0.25,0.25,1,0,0.25,0,1,0.25,0.5,0,0.25,0,1,0.25,0.5,0.5,0.25,0.25
getMockMenuItem,4,1,1,17,0,0,0,8,18,6,0,0,52,78,5,1,0,7,0,0,0,6,4,1,0,18,30,0.555555555555556,1,1,0.75,0.25,1,0,0.25,0,1,0.25,1,0.6,0.25,0.75,1,0.75,1,0,1,0
getDependenciesStatusFile,61,10,1,36,5,0,0,61,33,25,0,6,188,360,6,1,1,4,1,0,0,4,1,1,0,14,22,0.08955223880597,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,0.033333333333333,0,0.333333333333333,0,1,0.666666666666667,0.253731343283582,0,1,0
nextTokens,23,6,1,14,3,0,0,28,11,3,0,2,76,108,4,2,0,1,0,0,0,4,1,0,0,10,27,0.148148148148148,1,0,0.333333333333333,0,0,0,0,0,1,0.333333333333333,0.2,0,0.333333333333333,0,1,0.333333333333333,0.122448979591837,0,0.666666666666667,0
deserializeSets,271,91,1,104,39,0,0,397,87,43,0,40,960,854,20,8,1,10,1,0,0,31,3,0,2,71,112,0.06872852233677,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.333333333333333,0.051724137931035,0,0.666666666666667,0,1,0.333333333333333,0,0,0,0
toUUID,271,91,1,104,39,0,0,397,87,43,0,40,960,854,4,2,1,2,0,0,0,6,2,0,0,15,14,0.014545454545455,1,0.05,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,0.03448275862069,0,0.666666666666667,0,1,0.666666666666667,0.070588235294118,0.012121212121212,1,0.666666666666667
computeStartState,16,6,1,9,3,0,0,23,16,11,0,2,62,89,9,5,1,3,0,0,0,14,2,2,0,35,47,0.36,1,1,0.25,0.25,1,0,0.25,0,1,0.25,1,0,0.25,0,1,0.25,0.090909090909091,0,0.25,0
addDFAEdge,8,1,0,4,2,0,0,12,4,1,0,0,23,64,13,0,1,1,3,0,0,18,7,7,2,47,67,0.619047619047619,1,1,0.666666666666667,0.666666666666667,1,0,0.666666666666667,0,1,0.333333333333333,1,0.75,0.333333333333333,1,1,0.666666666666667,1,0.511111111111111,0.333333333333333,1
addDFAState,16,6,1,9,3,0,0,23,16,11,0,2,62,89,28,6,1,5,3,0,0,30,4,3,6,65,97,0.636363636363636,1,0,0.571428571428571,0,1,0,0.142857142857143,0,1,0.142857142857143,1,0,0.142857142857143,0,1,0.571428571428571,1,0.87037037037037,0.142857142857143,0.857142857142857
execATN,16,6,1,9,3,0,0,23,16,11,0,2,62,89,33,3,1,12,8,0,0,38,17,10,3,92,161,0.673469387755102,1,1,0.333333333333333,0.166666666666667,1,0.5,0.5,0.333333333333333,1,0.333333333333333,1,0.523809523809524,0.166666666666667,0.666666666666667,1,0.333333333333333,0.547368421052632,0,1,0
getAltThatFinishedDecisionEntryRule,13,4,0,4,3,0,0,15,6,3,0,1,34,49,11,2,1,5,2,0,0,9,2,1,0,26,31,0.458333333333333,1,0.5,0.25,0.25,0.5,0,0.25,0,1,0.25,1,0,0.25,0,1,0.25,1,0.916666666666667,0.25,1
splitAccordingToSemanticValidity,13,4,0,4,3,0,0,15,6,3,0,1,34,49,16,4,0,4,2,0,0,18,2,1,0,33,87,0.551724137931034,1,1,0.25,0.75,1,0,0.25,0,1,0.25,1,0,0.25,0,1,0.25,1,0,0.75,0
computeReachSet,28,4,1,13,6,0,0,46,16,7,0,9,114,175,61,12,1,18,14,0,0,70,20,13,6,182,277,0.685393258426966,1,1,0.25,0.25,1,1,0.25,0.166666666666667,1,0.083333333333333,1,1,0.166666666666667,0.166666666666667,1,0.25,1,1,0.333333333333333,0.083333333333333
getConflictingAltsOrUniqueAlt,8,3,0,5,1,0,0,13,4,1,0,3,31,61,9,1,0,1,1,0,0,8,1,1,2,15,32,0.529411764705882,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0.666666666666667,0.653846153846154,0,1,0
addDFAEdge,28,4,1,13,6,0,0,46,16,7,0,9,114,175,21,0,1,6,5,1,0,28,11,9,3,86,171,0.428571428571429,1,1,0.857142857142857,0.428571428571429,1,0.666666666666667,0.285714285714286,0.285714285714286,1,0.142857142857143,1,0.666666666666667,0.285714285714286,0.285714285714286,1,0.857142857142857,1,0.666666666666667,0.142857142857143,0.285714285714286
getPredsForAmbigAlts,8,3,0,5,1,0,0,13,4,1,0,3,31,61,22,4,1,4,5,0,0,27,6,4,3,65,66,0.733333333333333,1,1,0.142857142857143,0.142857142857143,1,0,0.142857142857143,0,1,0.142857142857143,1,0,0.285714285714286,0,1,0.142857142857143,1,0,0.142857142857143,0
getAllContextNodes,64,11,1,36,8,0,0,60,9,7,0,2,166,257,5,2,0,1,0,0,0,4,1,0,0,10,40,0.072463768115942,1,0.5,0.25,0.25,0,0,0,0,1,0.25,0.333333333333333,0,0.25,0,1,0.25,0.555555555555556,0,1,0
getAllContextNodes_,3,2,0,1,0,0,0,4,1,0,0,0,10,40,9,1,1,6,1,0,0,15,1,0,0,29,140,0.75,1,0,1,0,0,0,0,0,1,0.25,1,0,0.25,0,1,1,1,0,0.25,0
combineCommonParents,84,16,0,14,15,0,0,150,6,2,0,15,286,763,11,4,1,3,1,0,0,20,0,2,1,39,63,0.115789473684211,1,1,0.666666666666667,0.666666666666667,1,0,0.666666666666667,0,1,0.333333333333333,0,0,0,0,1,0.666666666666667,0.75,0,1,0
hasStateAssociatedWithOneAlt,15,4,0,5,3,0,0,16,6,2,0,2,39,73,8,2,1,3,1,0,0,3,1,0,0,13,26,0.347826086956522,1,0.166666666666667,0.333333333333333,0.333333333333333,0,0,0,0,1,0.333333333333333,0.25,0,0.333333333333333,0,1,0.333333333333333,0.777777777777778,0,0.666666666666667,0
getConflictingAltSubsets,15,4,0,5,3,0,0,16,6,2,0,2,39,73,11,3,1,4,1,0,0,11,0,0,1,23,43,0.423076923076923,1,1,0.333333333333333,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0.333333333333333,0.76,0,0.666666666666667,0
singleTokenDeletion,8,1,0,4,2,0,0,7,3,0,0,0,18,45,11,3,1,8,1,0,0,9,3,0,0,28,54,0.578947368421053,1,0.6,0.25,0.75,0,0,0,0,1,0.25,0.6,0,0.5,0,1,0.25,1,0,0.5,0
getErrorRecoverySet,9,1,0,11,2,0,0,15,9,7,0,2,46,82,13,6,1,6,0,0,0,16,1,1,1,37,54,0.590909090909091,1,1,0.166666666666667,0.5,1,0,0.166666666666667,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.166666666666667,1,0,0.333333333333333,0
getTokenErrorDisplay,8,4,1,8,1,0,0,11,4,0,0,0,33,66,13,1,1,4,3,0,0,9,5,1,2,36,56,0.619047619047619,1,0.8,0.5,0.75,1,0,0.25,0,1,0.25,1,0.571428571428571,0.25,0.75,1,0.5,0.6875,0,1,0
getTokenErrorDisplay,7,3,1,8,1,0,0,10,4,0,0,0,31,61,13,1,1,4,3,0,0,9,5,1,2,36,56,0.65,1,0.8,0.5,0.75,1,0,0.25,0,1,0.25,1,0.571428571428571,0.25,0.75,1,0.5,0.88,0,1,0
escapeWSAndQuote,12,3,1,9,2,0,0,15,2,1,0,3,39,75,5,0,1,3,0,0,0,7,0,0,3,23,60,0.294117647058824,1,0,1,0,0,0,0,0,1,0.25,0,0,0,0,1,1,0.125,0,1,0
escapeWSAndQuote,11,1,1,4,3,0,0,9,5,1,0,2,32,54,5,0,1,3,0,0,0,7,0,0,3,23,60,0.3125,0.7,0,1,0,0,0,0,0,1,0.25,0,0,0,0,1,0.25,0.194444444444444,0,1,0
getConflictingAlts,8,5,1,7,1,0,0,15,5,1,0,0,35,99,9,2,1,1,1,0,0,6,0,0,0,12,29,0.529411764705882,1,0,0.25,0,0,0,0,0,1,0.25,0,0,0,0,1,0.25,0.09375,0,0.5,0
nextToken,6,2,0,4,0,0,0,6,3,1,0,1,18,30,45,2,1,14,6,0,0,36,34,30,11,140,129,0.882352941176471,1,1,0.666666666666667,0.333333333333333,1,1,0.666666666666667,0.333333333333333,1,0.333333333333333,1,0.967741935483871,0.333333333333333,1,1,0.666666666666667,1,0.863636363636364,0.666666666666667,1
getErrorDisplay,3,3,1,6,0,0,0,9,8,5,0,0,32,50,17,1,1,1,0,0,1,8,2,1,4,23,29,0.85,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.666666666666667,0.827586206896552,0,1,0
toTableString,11,1,1,12,0,0,0,13,2,2,0,0,47,112,24,4,1,8,3,0,0,14,1,1,1,41,62,0.685714285714286,1,1,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.666666666666667,1,0.386792452830189,0.333333333333333,1
getBucket,15,4,1,2,3,0,0,13,3,4,0,0,32,42,4,2,1,1,0,0,0,6,2,3,0,16,11,0.210526315789474,1,0.5,0.333333333333333,0.333333333333333,1,0.5,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0.333333333333333,1,0.333333333333333,0.294117647058824,0,0.666666666666667,0
getBucket,21,4,0,4,4,0,0,26,9,10,0,3,59,81,4,2,1,1,0,0,0,6,2,3,0,16,11,0.16,1,0.5,0.333333333333333,0.333333333333333,1,0.5,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.111111111111111,0.333333333333333,0.333333333333333,1,0.333333333333333,0.144927536231884,0,0.666666666666667,0
subtract,10,1,0,3,2,0,0,9,2,0,0,2,24,50,53,7,1,11,9,0,0,61,0,9,2,120,169,0.841269841269841,1,1,0.142857142857143,0.428571428571429,1,0,0.142857142857143,0,1,0.142857142857143,0,0,0,0,1,0.142857142857143,1,0,0.142857142857143,0
save,4,1,1,4,0,0,0,5,1,1,0,0,16,28,8,2,0,3,0,0,0,4,1,0,0,13,25,0.666666666666667,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.333333333333333,1,0,0.333333333333333,0,1,0.333333333333333,0.882352941176471,0,1,0
addAnyChild,1,0,0,2,0,0,0,2,2,0,0,0,7,18,6,0,1,1,1,0,0,5,3,3,1,16,22,0.857142857142857,1,1,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.333333333333333,1,0.333333333333333,0.75,0,0.666666666666667,0,1,0.666666666666667,1,0.733333333333333,0.666666666666667,1
reduceToSingleOperationPerIndex,35,9,0,19,7,0,0,45,10,11,0,3,111,167,81,18,1,31,16,1,0,166,18,58,6,319,591,0.698275862068966,1,1,0.4,0.4,1,1,0.4,0.4,1,0.6,1,1,0.4,0.4,1,0.4,1,0.714285714285714,0.2,1
getProgram,3,2,0,3,0,0,0,8,1,1,0,1,16,40,6,1,1,2,1,0,0,6,2,1,1,16,45,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.666666666666667,0,1,0.666666666666667,0.714285714285714,0,1,0
getProgram,3,2,0,3,0,0,0,8,1,1,0,1,16,40,6,1,1,2,1,0,0,6,2,1,1,16,45,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,0,0.333333333333333,0,1,0.333333333333333,1,0,0.666666666666667,0,1,0.666666666666667,0.714285714285714,0,1,0
enterRule,13,3,0,7,2,0,0,18,5,0,0,0,38,79,4,1,0,3,0,0,0,5,0,0,0,9,26,0.235294117647059,1,0.333333333333333,0.666666666666667,0.666666666666667,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0.666666666666667,1,0,1,0
exitRule,13,3,0,7,2,0,0,18,5,0,0,0,38,79,4,1,0,3,0,0,0,5,0,0,0,9,26,0.235294117647059,1,0.25,0.666666666666667,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0.666666666666667,1,0,1,0
tokenize,18,5,0,10,1,0,0,20,8,5,0,1,58,104,35,11,1,27,5,0,0,43,12,9,1,132,197,0.660377358490566,1,1,0.25,0.25,1,1,0.25,0.25,1,0.25,1,1,0.25,0.25,1,0.25,0.785714285714286,0,1,0
getNodeText,16,3,1,15,2,0,0,22,5,0,0,1,60,134,25,6,1,11,7,0,0,22,5,1,0,56,125,0.609756097560976,1,0.6,0.25,0.75,1,0,0.25,0,1,0.5,1,0,0.25,0,1,0.25,1,0,0.5,0
rawGetGrammar,8,3,1,6,0,0,0,5,5,1,0,1,28,48,10,2,1,6,0,0,0,6,5,1,2,29,45,0.555555555555556,0.8,0,0.75,0,0.5,0,0.25,0,1,0.25,0.571428571428571,0,0.5,0,1,0.25,0.555555555555556,0.509090909090909,0.5,1
writeLexerTestFile,5,2,1,5,0,0,0,9,6,1,0,0,26,80,4,1,1,3,0,1,0,5,2,1,0,54,66,0.444444444444444,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,1,0,1,0
locateRuntime,27,5,1,11,2,0,0,17,11,7,0,0,78,109,13,3,1,7,1,0,0,6,2,0,2,27,42,0.325,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.333333333333333,1,0.242990654205607,0.5,1
locateRuntime,58,12,1,29,5,1,0,48,30,21,0,3,203,317,13,3,1,7,1,0,0,6,2,0,2,27,42,0.183098591549296,1,1,0.333333333333333,0.333333333333333,0,0,0,0,1,0.166666666666667,1,0,0.166666666666667,0,1,0.333333333333333,1,0.112068965517241,0.5,1
execModule,5,2,1,5,0,0,0,9,6,1,0,0,26,80,60,12,1,29,5,1,0,48,30,21,3,217,317,0.923076923076923,1,1,0.363636363636364,0.272727272727273,1,1,0.363636363636364,0.090909090909091,1,0.272727272727273,1,0.863636363636364,0.363636363636364,0.818181818181818,1,0.363636363636364,1,0.782608695652174,0.545454545454545,0.818181818181818
writeLexerTestFile,13,2,1,9,2,0,0,14,10,3,0,1,47,103,4,1,1,3,0,1,0,5,2,1,0,56,68,0.235294117647059,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0.666666666666667,1,0,1,0
execTest,13,2,1,9,2,0,0,14,10,3,0,1,47,103,19,8,1,13,0,0,0,18,8,4,1,59,100,0.59375,1,0.5,0.333333333333333,0.333333333333333,1,0.5,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.4,0.333333333333333,0.666666666666667,1,0.333333333333333,1,0.888888888888889,0.333333333333333,0.333333333333333
execTest,5,1,0,3,1,0,0,4,2,0,0,1,17,18,19,8,1,13,0,0,0,18,8,4,1,59,100,0.791666666666667,1,1,0.333333333333333,0.333333333333333,1,1,0.333333333333333,0.333333333333333,1,0.333333333333333,1,0.8,0.333333333333333,0.666666666666667,1,0.333333333333333,1,1,0.333333333333333,0.333333333333333
rawExecRecognizer,3,1,1,4,0,0,0,11,5,1,0,0,23,134,9,0,1,4,1,0,0,7,5,1,1,27,64,0.75,1,0,0.25,0,1,0,0.25,0,1,0.25,0.714285714285714,0,1,0,1,0.5,0.65625,0,1,0
execRecognizer,7,0,1,4,1,0,0,7,5,1,0,1,23,64,7,1,1,3,1,0,0,4,2,0,1,19,18,0.5,1,0,0.5,0,0,0,0,0,1,0.25,0.333333333333333,0,0.5,0,1,0.5,0.25,0,0.5,0
locateTool,26,10,1,17,1,0,0,23,8,4,0,3,90,143,8,2,1,1,1,0,0,6,0,0,0,19,38,0.235294117647059,1,1,0.666666666666667,0.333333333333333,0,0,0,0,1,0.333333333333333,0,0,0,0,1,0.666666666666667,0.142857142857143,0.12,0.666666666666667,0.333333333333333
writeLexerTestFile,5,2,1,6,0,0,0,9,6,1,0,0,27,82,4,1,1,4,0,1,0,5,2,1,0,55,68,0.444444444444444,1,1,0.666666666666667,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,0.5,0,0.333333333333333,0,1,0.333333333333333,1,0,1,0
execModule,5,2,1,6,0,0,0,9,6,1,0,0,27,82,29,8,1,22,2,0,0,28,8,7,2,88,141,0.852941176470588,1,1,0.2,0.2,1,1,0.2,0.2,1,0.2,1,0.666666666666667,0.2,0.8,1,0.2,1,0.916666666666667,0.2,0.6
